"sr_no","pic","name_of_dam","operated_maintained_by","latitude","longitude","year_of_completion","river_basin","river","neareast_city","seismic_zone","dam_type","height_above_lowest_foundation_level","dam_length","volume_content_of_dam","gross_storage_capacity","reservoir_area","effective_storage_capacity","purpose","designed_spillway_capacity"
37,"GJ04MH0038","Ler","Gujarat Engineering Research Institute","23° 11 ' 39""","69° 45 ' 31""",1939,"West Flowing Rivers of Kutch and Saurashtra including Luni","Pat","Bhuj","V","Earthfill_Embankment",15,366,317000,1610000,476000,1576000,"I",124
38,"GJ04MH0039","Kharod","Gujarat Engineering Research Institute","23° 3 ' 14""","69° 21 ' 18""",1941,"West Flowing Rivers of Kutch and Saurashtra including Luni","Kharod","Mandvi","V","Earthfill_Embankment",23,419,104000,9740000,2588500,8500000,"I",420
39,"GJ04MH0040","Lilpur-I","Gujarat Engineering Research Institute","23° 31 ' 50""","70° 37 ' 38""",1941,"West Flowing Rivers of Kutch and Saurashtra including Luni","Lilpur","Rapar","V","Earthfill_Embankment",16.78,472,50000,1850000,NA,1785000,"I",267
40,"GJ04MH0041","Sanava","Gujarat Engineering Research Institute","23° 36 ' 26""","70° 55 ' 3""",1941,"West Flowing Rivers of Kutch and Saurashtra including Luni","Nagtarwalil","Rapar","V","Earthfill_Embankment",15.55,1554,1220000,1770000,NA,1770000,"I",477.07
41,"GJ04LH0042","Ambala","Gujarat Engineering Research Institute","21° 42 ' 15""","71° 50 ' 27""",1942,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Shihor","III","Earthfill_Embankment",14,713.7,0,2040000,130000,2040000,"I",254
42,"GJ04LH0043","Mamuara","Gujarat Engineering Research Institute","23° 16 ' 39""","69° 52 ' 9""",1942,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Bhuj","V","Earthfill_Embankment",10.5,1128,162000,7.42e+08,435000,706000,"I/N",46
43,"GJ04LH0044","Dhaneti","Gujarat Engineering Research Institute","23° 16 ' 49""","69° 54 ' 6""",1943,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Bhuj","V","Earthfill_Embankment",13,1160,37000,2510000,455000,2510000,"I",3760
44,"GJ04LH0045","Kalyanpar","Gujarat Engineering Research Institute","23° 35 ' 52""","70° 40 ' 9""",1943,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Rapar","V","Earthfill_Embankment",11.1,285,11000,1500000,205000,1480000,"I",113
45,"GJ04MH0046","Khengar Sagar","Gujarat Engineering Research Institute","23° 1 ' 24""","69° 43 ' 20""",1943,"West Flowing Rivers of Kutch and Saurashtra including Luni","Bhukhi","Mundra","V","Earthfill_Embankment",17.65,747,543360,9600000,2518000,8410000,"I",151.51
46,"GJ04LH0047","Shihan","Gujarat Engineering Research Institute","22° 16 ' 57""","69° 41 ' 50""",1943,"West Flowing Rivers of Kutch and Saurashtra including Luni","Shihan","Khambhalia","IV","Earthfill_Embankment",14.5,214,0,11470000,NA,11470000,"I",1104.34
47,"GJ04MH0048","Madhvipur","Gujarat Engineering Research Institute","22° 3 ' 41""","71° 17 ' 29""",1944,"West Flowing Rivers of Kutch and Saurashtra including Luni","Pat","Jasdan","III","Earthfill_Embankment",17,267,36000,630000,NA,594000,"I",NA
48,"GJ04MH0049","Madhapar lower","Gujarat Engineering Research Institute","23° 16 ' 19""","69° 38 ' 54""",1944,"West Flowing Rivers of Kutch and Saurashtra including Luni","Pat","Bhuj","V","Earthfill_Embankment",16.23,162,487000,11280000,265000,948000,"I",55.22
49,"GJ04LH0050","Valavad","Gujarat Engineering Research Institute","21° 42 ' 38""","71° 55 ' 22""",1944,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Sihor","III","Earthfill_Embankment",13,526,3280000,3680000,NA,3290000,"I",605
50,"GJ04LH0051","Nandhelao","Gujarat Engineering Research Institute","22° 43 ' 20""","74° 12 ' 42""",1945,"Mahi","Kotar","Dahod","III","Earthfill_Embankment",13,540,15860,1003000,41560,746000,"I",93
51,"GJ04MH0052","Juran","Gujarat Engineering Research Institute","23° 28 ' 0""","69° 49 ' 60""",1946,"West Flowing Rivers of Kutch and Saurashtra including Luni","Jhuran","Bhuj","V","Earthfill_Embankment",17,625,103000,930000,NA,883000,"I",110
52,"GJ04MH0053","Rajada","Gujarat Engineering Research Institute","22° 57 ' 53""","69° 17 ' 2""",1946,"West Flowing Rivers of Kutch and Saurashtra including Luni","Kharod","Mandvi","V","Earthfill_Embankment",18.35,1127,1024190,11640000,2090000,9930000,"I",803
53,"GJ04MH0054","Badi-Padva","Gujarat Engineering Research Institute","21° 36 ' 3""","72° 11 ' 57""",1947,"West Flowing Rivers of Kutch and Saurashtra including Luni","Maleshri","Ghogha","III","Earthfill_Embankment",15,774.7,0,2560000,901490,2560000,"I",481
54,"GJ04LH0055","Kothariya","Gujarat Engineering Research Institute","22° 27 ' 13""","70° 42 ' 36""",1947,"West Flowing Rivers of Kutch and Saurashtra including Luni","T-Aji","Morbi","IV","Earthfill_Embankment",11,NA,48000,1853000,NA,1853000,"I",152.5
55,"GJ04LH0056","Meshwo Weir","Gujarat Engineering Research Institute","22° 54 ' 14""","72° 44 ' 27""",1948,"Sabarmati","Meshwo","Mahem davad","III","Other",10.05,166.12,0,0,NA,NA,"I",2286
56,"GJ04LH0057","Raniporda","Gujarat Engineering Research Institute","22° 51 ' 40""","73° 10 ' 35""",1948,"Sabarmati","Vehla","Thasara","III","Earthfill_Embankment",11,1640,0,17450000,NA,1727000,"I",405
57,"GJ04LH0058","Ratia","Gujarat Engineering Research Institute","23° 16 ' 25""","69° 35 ' 48""",1948,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Bhuj","V","Earthfill_Embankment",13.5,884,0,908000,NA,871000,"I",96
58,"GJ04MH0059","Vijaysagar","Gujarat Engineering Research Institute","23° 1 ' 28""","69° 27 ' 19""",1948,"West Flowing Rivers of Kutch and Saurashtra including Luni","Rukmawati","Mandavi","V","Earthfill_Embankment",26.23,732,159000,20820000,NA,19177000,"I",653
59,"GJ04MH0060","Wangiwad","Gujarat Engineering Research Institute","22° 58 ' 31""","74° 9 ' 6""",1948,"Mahi","Kotar","Zhalod","III","Earthfill_Embankment",15,84,65000,1020000,70000,980000,"I",980
60,"GJ04LH0061","Tara-Manjal","Gujarat Engineering Research Institute","23° 15 ' 15""","69° 23 ' 51""",1949,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local River","Nakhatrana","V","Earthfill_Embankment",11.89,167.68,48000,1600000,NA,1600000,"I",238.26
61,"GJ04LH0062","Kaupaddhar","Gujarat Engineering Research Institute","23° 21 ' 52""","68° 57 ' 47""",1950,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Abdasa","V","Earthfill_Embankment",20,975,79000,2660000,1e+06,2630000,"I",472
62,"GJ04LH0064","Wandh","Gujarat Engineering Research Institute","23° 20 ' 17""","69° 24 ' 0""",1950,"West Flowing Rivers of Kutch and Saurashtra including Luni","Khari","Bhuj","V","Earthfill_Embankment",11.19,765.24,236480,820000,165200,780000,"I",55.77
63,"GJ04LH0065","Wandh-Mandvi","Gujarat Engineering Research Institute","23° 1 ' 44""","69° 23 ' 38""",1950,"West Flowing Rivers of Kutch and Saurashtra including Luni","Wand","Mandvi","V","Earthfill_Embankment",13,825,93000,820000,NA,744000,"I",71
64,"GJ04MH0066","Bhuj","Gujarat Engineering Research Institute","23° 14 ' 49""","69° 37 ' 19""",1951,"West Flowing Rivers of Kutch and Saurashtra including Luni","Khari River","Bhuj","V","Earthfill_Embankment",17.3,1250,990000,5210000,NA,4579000,"I",2449
65,"GJ04LH0067","Kadoli","Gujarat Engineering Research Institute","23° 4 ' 5""","68° 49 ' 44""",1951,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local River","Abdasa","V","Earthfill_Embankment",14.02,615,350000,4860000,NA,4860000,"I",593
66,"GJ04LH0068","Vanothi","Gujarat Engineering Research Institute","22° 47 ' 44""","73° 7 ' 10""",1951,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Mandavi","V","Earthfill_Embankment",13.23,1135.35,201370,2810000,776000,2590000,"I",164
67,"GJ04MH0069","Ranghola","Gujarat Engineering Research Institute","21° 45 ' 52""","71° 39 ' 9""",1952,"West Flowing Rivers of Kutch and Saurashtra including Luni","Rangholi","Umrala","III","Other",24,1952,2652720,44547000,11620000,42890000,"I",2394
68,"GJ04LH0070","Sinhan","Gujarat Engineering Research Institute","22° 16 ' 56""","69° 41 ' 53""",1952,"West Flowing Rivers of Kutch and Saurashtra including Luni","Sinhan","Khambhalia","IV","Earthfill_Embankment",13,488,0,9910000,NA,8500000,"I",977
69,"GJ04MH0071","Vedmati","Gujarat Engineering Research Institute","22° 12 ' 28""","69° 24 ' 49""",1952,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Voklo","Khambhalia","IV","Earthfill_Embankment",26.9,121,3380000,3380000,NA,3240000,"I",339.79
70,"GJ04MH0072","Bhimdad","Gujarat Engineering Research Institute","22° 5 ' 11""","71° 34 ' 31""",1953,"West Flowing Rivers of Kutch and Saurashtra including Luni","Madhu","Gadhada","III","Earthfill_Embankment",21.65,716,1720900,11070000,3540000,11070000,"I",975
71,"GJ04MH0073","Brahmani","Gujarat Engineering Research Institute","22° 53 ' 30""","71° 8 ' 31""",1953,"West Flowing Rivers of Kutch and Saurashtra including Luni","Brahmani","Halvad","IV","Other",22.7,2652,2726000,7.5e+07,19140000,7.1e+07,"I",2950
72,"GJ04MH0074","Ghee","Gujarat Engineering Research Institute","22° 11 ' 21""","69° 39 ' 19""",1953,"West Flowing Rivers of Kutch and Saurashtra including Luni","Ghee","Khambhalia","IV","Other",17,2035,276000,13840000,3980000,12700000,"I",671
73,"GJ04MH0075","Lilpar-II","Gujarat Engineering Research Institute","23° 32 ' 20""","70° 36 ' 47""",1953,"West Flowing Rivers of Kutch and Saurashtra including Luni","Narelawali nadi","Rapar","V","Earthfill_Embankment",21.36,368,205000,1820000,NA,1777000,"I",452
74,"GJ04LH0076","Lotiya","Gujarat Engineering Research Institute","23° 22 ' 13""","69° 59 ' 44""",1953,"West Flowing Rivers of Kutch and Saurashtra including Luni","Nihwara","Bhuj","V","Earthfill_Embankment",14.36,640,187550,1006000,212000,856000,"I",327
75,"GJ04MH0077","Mauvana","Gujarat Engineering Research Institute","23° 49 ' 55""","70° 51 ' 43""",1953,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local River","Rapar","V","Earthfill_Embankment",16.46,508.97,152600,456000,70070,413000,"I",100.76
76,"GJ04MH0078","Aji I","Gujarat Engineering Research Institute","22° 15 ' 57""","70° 50 ' 5""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Aji","Rajkot","III","Other",25.9,3431.71,894000,26420000,6589000,25990000,"S",1785
77,"GJ04MH0079","Badargadh( Shiv)","Gujarat Engineering Research Institute","23° 27 ' 25""","70° 36 ' 55""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Badargadh","Rapar","V","Earthfill_Embankment",20,322,184000,5110000,NA,4840000,"I",657
78,"GJ04MH0080","Chhasara","Gujarat Engineering Research Institute","22° 58 ' 58""","69° 49 ' 11""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Chhasara","Mundra","V","Earthfill_Embankment",20,1402,278000,4560000,NA,4227000,"I",719
79,"GJ04MH0081","Fulra","Gujarat Engineering Research Institute","23° 16 ' 52""","69° 27 ' 58""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Trambo nadi","Abdasa","V","Earthfill_Embankment",19,750,71000,2722000,232000,2701000,"I",512
80,"GJ04MH0082","Kakrapar","Gujarat Engineering Research Institute","21° 15 ' 59""","73° 21 ' 53""",1954,"Tapi","Tapi","Kakrapar","III","Other",15.48,7315,60880,51510000,4.42e+08,36510000,"I",38228
81,"GJ04MH0083","Malan","Gujarat Engineering Research Institute","21° 13 ' 23""","71° 37 ' 30""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Malan","Mahuva","III","Earthfill_Embankment",22.56,1450,1845200,16170000,9e+06,15420000,"I",1334
82,"GJ04MH0084","Puna","Gujarat Engineering Research Institute","22° 20 ' 58""","69° 55 ' 1""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Puna","Lalpur","IV","Other",18.25,1432,703000,1.4e+07,3800000,11440000,"I",963
83,"GJ04MH0085","Sargualla","Gujarat Engineering Research Institute","23° 15 ' 11""","69° 6 ' 40""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Naliya","Abdasa","V","Earthfill_Embankment",16.88,557,194000,194000,3600000,194000,"I",513
84,"GJ04MH0086","Sasoi","Gujarat Engineering Research Institute","22° 20 ' 27""","69° 57 ' 15""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Sasoi","Lalpur","IV","Other",20,3767,2080000,5.1e+07,14680000,46750000,"I",2921
85,"GJ04MH0087","Shivlakha","Gujarat Engineering Research Institute","23° 24 ' 50""","70° 38 ' 20""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Bhadargad","Rapar","V","Earthfill_Embankment",17.8,524,484000,5120000,1107000,4140000,"I",657
86,"GJ04MH0088","Surajwadi","Gujarat Engineering Research Institute","21° 11 ' 56""","71° 22 ' 11""",1954,"West Flowing Rivers of Kutch and Saurashtra including Luni","Surajwadi","Savarkundla","III","Other",21,1823,2043870,9800000,2350000,6360000,"I",1396
87,"GJ04MH0089","Chorwadala","Gujarat Engineering Research Institute","21° 42 ' 26""","71° 48 ' 1""",1955,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Stream","Sihor","III","Earthfill_Embankment",18,280,0,2100000,NA,2100000,"I",276
88,"GJ04MH0090","Gajod","Gujarat Engineering Research Institute","23° 1 ' 1""","69° 33 ' 41""",1955,"West Flowing Rivers of Kutch and Saurashtra including Luni","Nagmati","Bhuj","V","Earthfill_Embankment",14.02,403,28000,10680000,2380000,9860000,"I",1612.39
89,"GJ04MH0091","Kaila","Gujarat Engineering Research Institute","23° 22 ' 18""","69° 35 ' 45""",1983,"West Flowing Rivers of Kutch and Saurashtra including Luni","Kyala","Bhuj","V","Earthfill_Embankment",27.5,814,375000,19980000,324000,19230000,"I",1225
90,"GJ04LH0092","Sanandharo","Gujarat Engineering Research Institute","23° 37 ' 36""","68° 47 ' 16""",1955,"West Flowing Rivers of Kutch and Saurashtra including Luni","Kali","Lakhpat","V","Earthfill_Embankment",13.64,914.4,914000,10344000,4950000,9850000,"I",1465.94
91,"GJ04LH0093","Solmatia","Gujarat Engineering Research Institute","21° 42 ' 52""","72° 5 ' 0""",1955,"West Flowing Rivers of Kutch and Saurashtra including Luni","Solmatia","Bhavnagar","IV","Earthfill_Embankment",14.5,763,0,1060000,NA,1040000,"I",140
92,"GJ04MH0094","Vengadi","Gujarat Engineering Research Institute","22° 58 ' 36""","69° 11 ' 52""",1955,"West Flowing Rivers of Kutch and Saurashtra including Luni","Mandvi","Kachchh","V","Earthfill_Embankment",16.45,1737,443000,6915000,1817000,6450000,"I",1019
93,"GJ04MH0095","Adhochhani","Gujarat Engineering Research Institute","23° 17 ' 33""","69° 21 ' 45""",1956,"West Flowing Rivers of Kutch and Saurashtra including Luni","Adhochhani","Nakhatrana","V","Earthfill_Embankment",16.94,1000,920000,3130000,NA,3130000,"I",669
94,"GJ04LH0096","Baladhor","Gujarat Engineering Research Institute","23° 13 ' 19""","69° 10 ' 30""",1956,"West Flowing Rivers of Kutch and Saurashtra including Luni","Naira","Abdasa","V","Earthfill_Embankment",10.79,330,136000,5010000,NA,5010000,"I",589
95,"GJ04MH0097","Dhandhavada","Gujarat Engineering Research Institute","21° 21 ' 37""","70° 19 ' 38""",1956,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local Voklo","Khambhalia","IV","Earthfill_Embankment",15.25,421,4760000,4760000,NA,4480000,"I",756.05
96,"GJ04MH0098","Gondali","Gujarat Engineering Research Institute","22° 3 ' 37""","70° 51 ' 42""",1956,"West Flowing Rivers of Kutch and Saurashtra including Luni","Gondali","Kotda Sangdi","III","Other",24.34,1630,302000,10102000,2736000,9960000,"I",955
97,"GJ04MH0099","Kankawati","Gujarat Engineering Research Institute","23° 9 ' 52""","69° 8 ' 0""",1956,"West Flowing Rivers of Kutch and Saurashtra including Luni","Kankawati","Abdasa","V","Earthfill_Embankment",23.46,2164,2164000,14610000,3540000,13250000,"I",1892.56
98,"GJ04LH0100","Karol","Gujarat Engineering Research Institute","23° 21 ' 3""","72° 50 ' 44""",1956,"Sabarmati","Bokh","Prantij","III","Other",13.14,714,801000,8300000,7500000,7500000,"I",11
99,"GJ04MH0101","Kharua","Gujarat Engineering Research Institute","23° 8 ' 14""","69° 7 ' 26""",1956,"West Flowing Rivers of Kutch and Saurashtra including Luni","Local River","Abdasa","V","Earthfill_Embankment",15.75,107,56000,416000,NA,416000,"I",79
100,"GJ04HH0102","Moj","Gujarat Engineering Research Institute","21° 50 ' 20""","70° 16 ' 39""",1956,"West Flowing Rivers of Kutch and Saurashtra including Luni","Moj","Upleta","III","Other",36,1197,80000,5.3e+07,12030000,5e+07,"I",2550
101,"GJ04MH0103","Vardhari","Gujarat Engineering Research Institute","23° 5 ' 58""","73° 27 ' 3""",1956,"Mahi","Shedhi","Lunawada","III","Earthfill_Embankment",15.9,381,240950,5810000,336000,5810000,"I",676
102,"GJ04MH0104","Venu","Gujarat Engineering Research Institute","21° 58 ' 43""","70° 1 ' 33""",1956,"West Flowing Rivers of Kutch and Saurashtra including Luni","Venu","Jamjodhpur","III","Earthfill_Embankment",19.2,299,7120000,7120000,NA,7020000,"I",821.18
103,"GJ04MH0105","Kundhada","Gujarat Engineering Research Institute","22° 57 ' 0""","71° 8 ' 0""",1957,"West Flowing Rivers of Kutch and Saurashtra including Luni","TLimbali","Chotila","IV","Earthfill_Embankment",17.5,557,0,1385000,NA,1047000,"I",305
104,"GJ04MH0106","Munjiasar","Gujarat Engineering Research Institute","21° 28 ' 0""","70° 55 ' 0""",1957,"West Flowing Rivers of Kutch and Saurashtra including Luni","Munjasar","Kunkavav vadia","III","Earthfill_Embankment",22.39,4602,413200,14700000,5950000,11800000,"I",1184
105,"GJ04MH0107","Vigodi","Gujarat Engineering Research Institute","23° 29 ' 6""","69° 3 ' 47""",1957,"West Flowing Rivers of Kutch and Saurashtra including Luni","Makdawali Nadi","Nakhatrana","V","Earthfill_Embankment",15.25,670.73,334000,1960000,NA,1960000,"I",484
106,"GJ04LH0108","Balapar Budadro","Gujarat Engineering Research Institute","23° 16 ' 35""","69° 3 ' 17""",1958,"West Flowing Rivers of Kutch and Saurashtra including Luni","Naliya","Abdasa","V","Earthfill_Embankment",14.93,1280,961000,961000,64000,961000,"I",1091
107,"GJ04MH0109","Kalubhar","Gujarat Engineering Research Institute","21° 51 ' 41""","71° 37 ' 44""",1958,"West Flowing Rivers of Kutch and Saurashtra including Luni","Kalubhar","Gadhada","III","Earthfill_Embankment",25.3,4970,387915,26110000,9620000,24590000,"I/S",7260.24
108,"GJ04MH0110","Karad","Gujarat Engineering Research Institute","22° 33 ' 37""","73° 41 ' 45""",1958,"Mahi","Karad","Devgarh Bariya","III","Earthfill_Embankment",29.65,1019.56,0,42450000,8740000,40060000,"I/F",1347.08
109,"GJ04MH0111","Wanakbori ( Mahi Stg I)","Gujarat Engineering Research Institute","22° 56 ' 53""","73° 25 ' 44""",1958,"Mahi","Mahi","Wanakbori","III","Other",25,796,240000,41910000,20860000,36240000,"I",46978
110,"GJ04LH0112","Aamli Chharchhoda","Gujarat Engineering Research Institute","22° 43 ' 0""","74° 11 ' 0""",1959,"Mahi","Kotar","Dahod","III","Earthfill_Embankment",11,600,132820,250000,44500,220000,"I",15
111,"GJ04MH0113","Bela","Gujarat Engineering Research Institute","23° 51 ' 27""","70° 46 ' 1""",1959,"West Flowing Rivers of Kutch and Saurashtra including Luni","Bela","Rapar","V","Earthfill_Embankment",16.15,1018.3,580000,1850000,NA,1850000,"I",495.92
112,"GJ04HH0114","Dholidhaja( W- Bhogavo II )","Gujarat Engineering Research Institute","22° 43 ' 27""","71° 36 ' 4""",1963,"West Flowing Rivers of Kutch and Saurashtra including Luni","Bhogavo","Wadhram","III","Other",17,3523,939000,23350000,6130000,1.7e+07,"I/S",2688
113,"GJ04LH0115","Hatadi","Gujarat Engineering Research Institute","22° 57 ' 47""","69° 56 ' 28""",1959,"West Flowing Rivers of Kutch and Saurashtra including Luni","Chhela Nadi","Kachchh","V","Earthfill_Embankment",13.85,2226,1054000,3230000,1026500,2810000,"I",361
